id	title	start_date	end_date	bbox	href	description	license
ABoVE_UAVSAR_PALSAR	Arctic-Boreal Vulnerability Experiment Uninhabited Aerial Vehicle Synthetic Aperture Radar Polarimetric SAR	2017-06-13	2017-06-22	-166.788382, 69.708769, -110.947561, 59.729364	https://stac.maap-project.org/collections/ABoVE_UAVSAR_PALSAR	The Arctic-Boreal Vulnerability Experiment (ABoVE) is a NASA Terrestrial Ecology Program field campaign conducted from June through September 2017 over Alaska and Western Canada. ABoVE is a large-scale study of environmental change and to assess the vulnerability and resilience of Arctic and boreal ecosystems and provide scientific bases for societal response decision making.  ABoVE utilized the Uninhabited Aerial Vehicle Synthetic Aperture Radar (UAVSAR) Polarimetric SAR (PALSAR) instrument to provide image transects to survey the land surface, hydrological systems and vegetation.  SAR products in this collection include the Digital Elevation Model (DEM), the local incidence angle, the terrain slope product, ground projected complex cross products, the compressed stokes matrix, pauli decompositions, multi-look cross products, and scene annotation files.  	not-provided
AFRISAR_DLR	AFRISAR_DLR	2016-02-03		6.9960938, -4.78125, 15.5390625, 2.9882813	https://stac.maap-project.org/collections/AFRISAR_DLR	The  ESA  BIOMASS  mission  was  selected  in  2013  as  the  7th  Earth  Explorer  mission.  BIOMASS  will  provide estimates of forest biomass and height with full coverage over the tropical areas exploiting the penetration  capabilities  of  P-band.  In  order  to  further  support  the  BIOMASS  mission  development,  especially concerning the mission concept verification and the development of geophysical algorithms, ESA funded the AfriSAR campaign. During the AfriSAR campaign, shared between ONERA (dry season, July 2015) and DLR (wet season 2016),  Pol-InSAR  and  TomoSAR  airborne  data  set  were  collected  over  four  test  sites  of  Gabon  (Africa),  therefore  covering  different  forest  structures,  biomass  levels  and  disturbances.  Although  the  interferometric  /  tomographic  baselines  were  optimized  for  P-band  acquisitions,  L-band  data  were  collected simultaneously as well.This reports describes the test sites, the available ground measurements (carried out in a parallel field inventory  campaign  in  2016)  and  Lidar  data  for  the  validation  of  the  SAR  product  derivation  and  analysis. Furthermore, both campaigns are described in details, and data acquired and processed are listed.   The   results   of   data   quality   check   are   provided,   together   with   first   analyses   aimed   at   investigating  the  potentials  of  the  acquired  data  sets  for  generating  Level-2  products  in  terms  of  Pol-InSAR forest height and TomoSAR vertical reflectivity profiles.	not-provided
AFRISAR_DLR2	AFRISAR_DLR2	2015-06-30		6.9960938, 2.9882813, 15.5390625, -4.78125	https://stac.maap-project.org/collections/AFRISAR_DLR2	The ESA BIOMASS mission was selected in 2013 as the 7th Earth Explorer mission. BIOMASS will provide estimates of forest biomass and height with full coverage over the tropical areas exploiting the penetration capabilities of P-band. In order to further support the BIOMASS mission development, especially concerning the mission concept verification and the development of geophysical algorithms, ESA funded the AfriSAR campaign.During the AfriSAR campaign, shared between ONERA (dry season, July 2015) and DLR (wet season 2016), Pol-InSAR and TomoSAR airborne data set were collected over four test sites of Gabon (Africa), therefore covering different forest structures, biomass levels and disturbances. Although the interferometric / tomographic baselines were optimized for P-band acquisitions, L-band data were collected simultaneously as well.This reports describes the test sites, the available ground measurements (carried out in a parallel field inventory campaign in 2016) and Lidar data for the validation of the SAR product derivation and analysis. Furthermore, both campaigns are described in details, and data acquired and processed are listed. The results of data quality check are provided, together with first analyses aimed at investigating the potentials of the acquired data sets for generating Level-2 products in terms of Pol-InSAR forest height and TomoSAR vertical reflectivity profiles.	not-provided
AfriSAR_UAVSAR_Coreg_SLC	AfriSAR UAVSAR Coregistered SLCs Generated Using NISAR Tools	2016-02-25	2016-03-08	9.1694444, -2.0677778, 11.8641667, 0.61	https://stac.maap-project.org/collections/AfriSAR_UAVSAR_Coreg_SLC	This dataset contains multi-baseline Polarimetric Interferometric Synthetic Aperture Radar SLC (single-look-complex) data collected from multiple repeat-pass flights over Gabonese forests using the Uninhabited Aerial Vehicle Synthetic Aperture Radar (UAVSAR) instrument in February-March 2016. Supplementary data products based on various intermediate parameters of the UAVSAR data are provided and include viewing and terrain geometry.	not-provided
AfriSAR_UAVSAR_Geocoded_Covariance	AfriSAR UAVSAR Geocoded Covariance Matrix product Generated Using NISAR Tools	2016-02-25	2016-03-08	9.1694444, 0.61, 11.8641667, -2.0677778	https://stac.maap-project.org/collections/AfriSAR_UAVSAR_Geocoded_Covariance	The Geocoded Covariance Matrix dataset is the 4x4 Native Covariance Matrix geocoded to a spatial resolution of 25m using cubic interpolation methods.  These covariance matrix datasets provides the variability between retrievals for each co-registered single-look-complex (SLC) polarization and provide inferences on the scattering characteristics of a target.  The SLC data was collected from repeat-pass flights of the Uninhabited Aerial Vehicle Synthetic Aperture Radar (UAVSAR) instrument during the AfriSAR field campaign over the Gabonese forest in February-March 2016.  The AfriSAR campaign was a collaborative airborne mission between the National Aeronautics and Space Administration, the European Space Agency and the Gabonese Space Agency collecting radar, lidar and field measurements in support of future space borne missions for biomass research.	not-provided
AfriSAR_UAVSAR_Geocoded_SLC	AfriSAR UAVSAR Geocoded SLCs Generated Using NISAR Tools	2016-02-25	2016-03-08	9.1694444, 0.61, 11.8641667, -2.0677778	https://stac.maap-project.org/collections/AfriSAR_UAVSAR_Geocoded_SLC	The Geocoded SLC (single-look-complex) dataset contains the geolocated SLC magnitude of a particular polarization for the master track of repeat-pass flights of the Uninhabited Aerial Vehicle Synthetic Aperture Radar (UAVSAR) instrument over the Gabonese forest.  These SLC's were collected as part of the AfriSAR field campaign that took place from February-March 2016.  The AfriSAR campaign was a collaborative airborne mission between the National Aeronautics and Space Administration, the European Space Agency and the Gabonese Space Agency collecting radar, lidar and field measurements in support of future space borne missions for biomass research.	not-provided
AfriSAR_UAVSAR_KZ	AfriSAR UAVSAR Vertical Wavenumber (KZ) Generated Using NISAR Tools	2016-02-25	2016-03-08	9.1694444, 0.61, 11.8641667, -2.0677778	https://stac.maap-project.org/collections/AfriSAR_UAVSAR_KZ	The Vertical Wavenumber dataset is the derivative of the radar interferometic phase for each single-look-complex (SLC) sample collected during the during the February-March 2016 AfriSAR campaign.  These data were collected from repeat-pass flights over Gabonese forest using the Uninhabited Aerial Vehicle Synthetic Aperture Radar (UAVSAR) instrument.  Vertical wavenumber is calculated using precise trajectory geometry and digital elevation models for each SLC sample and is provided in units of rad/meter.  The AfriSAR campaign was a collaborative airborne mission between the National Aeronautics and Space Administration, the European Space Agency and the Gabonese Space Agency collecting radar, lidar and field measurements in support of future space borne missions for biomass research.	not-provided
AfriSAR_UAVSAR_Normalization_Area	AfriSAR UAVSAR Normalization Area Generated Using NISAR Tools	2016-02-25	2016-03-08	9.1694444, 0.61, 11.8641667, -2.0677778	https://stac.maap-project.org/collections/AfriSAR_UAVSAR_Normalization_Area	The Normalization Area dataset provides the factor used to convert radar brightness into the scatter coefficient, sigma-0 (or gamma-0).  In radar retrievals, sigma-0 represents the measure of strength of the radar signal returned by a distributed scatterer.  The factor provided includes the correction from radiometric variation due to topography and radar incidence angle. The Normalization Area dataset is applicable to data collected by the Uninhabited Aerial Vehicle Synthetic Aperture Radar (UAVSAR) instrument over the Gabonese forest from February-March 2016.  This data was collected as part of the AfriSAR field campaign; a precursor to upcoming space borne missions for biomass research.	not-provided
AfriSAR_UAVSAR_Ungeocoded_Covariance	AfriSAR UAVSAR Ungeocoded Covariance Matrix product Generated Using NISAR Tools	2016-02-25	2016-03-08	9.1694444, 0.61, 11.8641667, -2.0677778	https://stac.maap-project.org/collections/AfriSAR_UAVSAR_Ungeocoded_Covariance	The native Ungeocoded Covariance Matrix dataset is the 4x4 polarimetric covariance matrix estimated over 9x41 looks starting from a set of polarimetric co-registered single-look-complex (SLC) data (HH, HV, VH, and VV).  These covariance matrix datasets provides the variability between retrievals for each SLC polarization and provides inferences on the scattering characterization of a target.  The SLC data is collected from repeat-pass flights over Gabonese forest using the Uninhabited Aerial Vehicle Synthetic Aperture Radar (UAVSAR) instrument in February-March 2016 during the AfriSAR field campaign.  The AfriSAR campaign was a collaborative airborne mission between the National Aeronautics and Space Administration, the European Space Agency and the Gabonese Space Agency collecting radar, lidar and field measurements in support of future space borne missions for biomass research.	not-provided
BIOSAR1	BIOSAR1	2007-03-08		7.03125, 54.351562, 25.8046875, 69.46875	https://stac.maap-project.org/collections/BIOSAR1	The understanding of processes occurring in Boreal forests and observation of changes over the huge  areas  of  Boreal  regions  can  efficiently  be  carried  out  using  satellite  instruments,  which  provide  sustained,  consistent  observations  over  a  longer  time  period.  In  order  to  monitor  parameters  important  for  detecting  environmental  changes  that  affect  Earth’s  climate,  several  different   sensor   systems   are   needed   that   are   capable   of   measuring   different   physical   parameters  with  a  sufficient  spatial  and  temporal  resolution  as  well  as  the  required  spatial  and  temporal coverage. The BIOSAR project acquired airborne SAR data at longer wavelength in L-and  P-band  using  polarimetric  and  polarimetric  SAR  interferometry  modes  with  temporal  and  spatial baselines varying from 15 min to 60 min within one day and in repeat pass after 36 and56  days;  the  spatial  baseline  variation  is  ranging  from  0  m  to  80  m,  respectively.  The  consolidated  test  site  Remmingstorp  with  the  boreal  like  forest  type  is  located  in  shouthern  Sweden  and  represents  a  managed  mixed  forest  with  trees  having  biomass  values  up  to  400  t/ha.  The  SAR  acquisitions  were  done  simultanouly  to  the  ground  measurements.  First  order  data  quality  checks  of  the  SAR  data  and  ground  measurements  are  provided.  Further  first  analysis  with  respect  to  temporal  decorrelation  in  L-  and  P-band,  forest  height  inversion,  temporal  baseline  SAR  Tomography  and  6Mhz  bandwith  forest  height  inversion  at  P-band  are  presented and discussed.	not-provided
ESACCI_Biomass_L4_AGB_V4_100m	ESA CCI Above-Ground Biomass Product Level 4 Version 4	2017-01-01	2020-12-31	-180.0, -90.0, 180.0, 90.0	https://stac.maap-project.org/collections/ESACCI_Biomass_L4_AGB_V4_100m	This dataset comprises estimates of forest above-ground biomass for the years 2017, 2018, 2019 and 2020, version 4. They are derived from a combination of Earth observation data, depending on the year, from the Copernicus Sentinel-1 mission, Envisat’s ASAR instrument and JAXA’s Advanced Land Observing Satellite (ALOS-1 and ALOS-2), along with additional information from Earth observation sources. The data has been produced as part of the European Space Agency's (ESA's) Climate Change Initiative (CCI) programme by the Biomass CCI team.	ESA-CCI-Data-Policy-free-and-open-access
